Study Status,Study Results,Conditions,Interventions,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Completion Date,Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Swindon Cancer Research Unit; Osprey Unit Level 3, Swindon, SN3 6BB, United Kingdom|Royal Cornwall Hospital, United Kingdom|Royal Hampshire County Hospital; Winchester & Andover Breast Unit, Winchester, SO22 5DG, United Kingdom|The Royal Wolverhampton Hospitals NHS Trust, Wolverhampton, WV10 0QP, United Kingdom|Airedale General Hospital; Oncology, York, BD20 6TD, United Kingdom|York District Hospital, York, YO31 8HE, United Kingdom|Grupo Oncológico Cooperativo Uruguayo; Hospital de Clínicas - Dpto. de Oncología, Montevideo,11400, Uruguay|Hospital Militar; Oncologia, Montevideo,11600, Uruguay|Hospital Pereira Rossell; Oncology Department, Montevideo,11600, Uruguay|Instituto Oncológico Luis Razetti, Caracas,1010, Venezuela|Centro Integral de Oncología, Caracas,1060, Venezuela|Centro Médico Docente La Trinidad; Unidad de Protocolos Clínicos, Caracas,1080, Venezuela|K hospital, Hanoi,100000," Vietnam""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Advanced Solid Tumors,DRUG: Talazoparib,ALL,"ADULT, OLDER_ADULT",PHASE1,38,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,9/30/16,2/12/20,"UCLA Hematology/Oncology - Alhambra, Alhambra, California, 91801, United States|CBCC Global Research, Inc. at Comprehensive Blood and Cancer Center, Bakersfield, California, 93309, United States|St. Joseph Heritage Healthcare, Fullerton, California, 92835, United States|St. Jude Hospital Yorba Linda DBA St. Joseph Heritage Healthcare, Fullerton, California, 92835, United States|UCLA Hematology/Oncology, Los Angeles, California, 90095, United States|UCLA Hematology/Oncology - Porter Ranch, Porter Ranch, California, 91326, United States|UCLA Hematology/Oncology - Santa Monica, Santa Monica, California, 90404, United States|UCLA Torrance Oncology, Torrance, California, 90505, United States|UCLA Hematology/Oncology - Santa Clarita, Valencia, California, 91355, United States|Orlando Health, Inc., Orlando, Florida, 32806, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Advanced Solid Tumors,DRUG: Talazoparib,ALL,"ADULT, OLDER_ADULT",PHASE1,34,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2/21/17,1/30/19,"Fort Wayne Medical Oncology and Hematology, Inc., Fort Wayne, Indiana, 46804, United States|Fort Wayne Medical Oncology and Hematology, Inc., Fort Wayne, Indiana, 46845, United States|Karmanos Cancer Institute, Detroit, Michigan, 48201, United States|Karmanos Cancer Institute Weisberg Cancer Treatment Center, Farmington Hills, Michigan, 48334, United States|Robert Wood Johnson University Hospital, New Brunswick, New Jersey, 08901, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, 08903, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States|Cross Cancer Institute, Edmonton, Alberta, T6G 1Z2, Canada|Juravinski Cancer Centre, Hamilton, Ontario, L8V 5C2, Canada|Jewish General Hospital, Montreal, Quebec, H3T 1E2, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Hematologic Neoplasms,DRUG: Panobinostat,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,9,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,6/24/13,11/19/18,"City of Hope National Medical Center Dept.ofCityofHopeMedicalCtr(1), Duarte, California, 91010 3000, United States|Georgia Regents University SC-2, Augusta, Georgia, 30912, United States|Dana Farber Cancer Institute Reg. Ped, Boston, Massachusetts, 02215, United States|University of Utah / Huntsman Cancer Institute SC-2, Salt Lake City, Utah, 84103, United States|Novartis Investigative Site, Jerusalem, 91120, Israel|Novartis Investigative Site, Leiden, 2300 RC, Netherlands|Novartis Investigative Site, Salamanca, Castille and León, 37007, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMINATED,YES,Breast Neoplasms,DRUG: Tamoxifen|DRUG: Vorinostat|DRUG: Pembrolizumab,ALL,"ADULT, OLDER_ADULT",PHASE2,38,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,5/4/15,6/8/19,"University of California, San Francisco Medical Center, San Francisco, California, 94115, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Plasma Cell Neoplasm,BIOLOGICAL: Pneumococcal 13-valent Conjugate Vaccine|BIOLOGICAL: Trivalent Influenza Vaccine,ALL,"ADULT, OLDER_ADULT",PHASE4,165,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,10/18/19,12/15/22,"Emory University Hospital Midtown, Atlanta, Georgia, 30308, United States|Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, 30322, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Tumors With CDK4/6 Pathway Activation,DRUG: LEE011,ALL,"ADULT, OLDER_ADULT",PHASE2,106,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,8/25/14,1/17/18,"University of Alabama at Birmingham, Birmingham, Alabama, 35249, United States|Alaska Clinical Research, Anchorage, Alaska, 99503, United States|Arizona Oncology Associates Dept. Of Onc., Phoenix, Arizona, United States|University of Arkansas/ Arkansas Cancer Research Center UA Medical Sciences, Little Rock, Arkansas, 72205, United States|PCR Oncology, Pismo Beach, California, 93449, United States|University of California Davis Cancer Center UC Davis Cancer (3), Sacramento, California, 95817, United States|Sarah Cannon Research Institute, Denver, Colorado, 80218, United States|Danbury Hospital, Danbury, Connecticut, 06810, United States|Yale University School of Medicine Smilow Cancer Hospital, New Haven, Connecticut, 06520, United States|Whittingham Cancer Center Norwalk Hospital, Norwalk, Connecticut, 06856, United States|Stamford Hospital Med. Oncology Hematology Res., Stamford, Connecticut, 06902, United States|Florida Hospital Cancer Institute, Orlando, Florida, 32804, United States|NorthWest Georgia Oncology Centers NW Georgia Oncology, Marietta, Georgia, 30060, United States|Harbin Clinic Medical Oncology Clin. Res., Rome, Georgia, 30165, United States|Queen's Medical Center Queens Cancer Center, Honolulu, Hawaii, 96817, United States|Northwestern Medicine Developmental Therapeutics Institute, Chicago, Illinois, 60611, United States|Indiana University Indiana Univ. - Purdue Univ., Indianapolis, Indiana, 46202, United States|Northern Indiana Cancer Research Consortium No. Indiana Cancer Res., South Bend, Indiana, 46617, United States|University of Iowa Hospitals & Clinics Regulatory Contact 2, Iowa City, Iowa, 52242, United States|New England Cancer Specialists, Scarborough, Maine, 04074, United States|St. Agnes Hospital St. Agnes Hospital (2), Baltimore, Maryland, 21229, United States|Michigan Medicine University of Michigan Int. Medicine Oncology, Ann Arbor, Michigan, 48109 5271, United States|Cancer and Hematology Centers of West Michigan Dept. of Oncology, Grand Rapids, Michigan, 49546, United States|Saint Luke's Hospital/Marion Bloch Neuroscience Institute St. Luke's Hospital (4), Kansas City, Missouri, 64111, United States|Research Medical Center Research Med Center (2), Kansas City, Missouri, 64132, United States|Comprehensive Cancer Centers of Nevada CCC of Nevada- Southwest (2), Las Vegas, Nevada, 89109, United States|Cooper Health System Cooper Health System (5), Camden, New Jersey, 08103, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, 08903, United States|New Mexico Cancer Care Alliance, Albuquerque, New Mexico, 87106, United States|Cancer Center at Presbyterian, Albuquerque, New Mexico, United States|Broome Oncology Broome Oncology (2), Johnson City, New York, 13790, United States|University of N C at Chapel Hill Physician Office Building, Chapel Hill, North Carolina, 27599-7600, United States|Carolina Oncology Specialists, PC, Hickory, North Carolina, 28602, United States|Wake Forest University Baptist Medical Center, Winston-Salem, North Carolina, 27157, United States|Oncology Hematology Care Inc Oncology Hematology Care 2, Cincinnati, Ohio, 45242, United States|Cleveland Clinic Foundation Taussig Cancer Institute, Cleveland, Ohio, 44195, United States|Ohio State University Medical Center Comprehensive Cancer Center, Columbus, Ohio, 43221, United States|Oregon Health and Science University Oregon Health & Science U (56), Portland, Oregon, 97239, United States|Salem Health, Salem, Oregon, 97309, United States|Fox Chase Cancer Center Dept of Medical Oncology, Philadelphia, Pennsylvania, 19111, United States|Rhode Island Hospital Rhode Island Hosp. (2), Providence, Rhode Island, 02903, United States|Greenville Health System ITOR - Cancer Institute, Greenville, South Carolina, 29615, United States|Sanford University of South Dakota Medical Center Sanford Health, Sioux Falls, South Dakota, 57104, United States|Chattanooga Oncology and Hematology Assoicates, PC Chattanooga Oncology, Chattanooga, Tennessee, 37404, United States|The West Clinic Dept. of the West Clinic, Memphis, Tennessee, 38120, United States|Tennessee Oncology Tennessee Oncology (3), Nashville, Tennessee, 37203, United States|Coastal Bend Cancer Center, Corpus Christi, Texas, 78404, United States|Oncology Consultants Oncology Group, Houston, Texas, 77024, United States|MD Anderson Cancer Center/University of Texas MD Anderson Cancer Center (3), Houston, Texas, 77030, United States|University of Texas Health Science Center at San Antonio Cancer Therapy & Research Ctr., San Antonio, Texas, 78229, United States|Intermountain Medical Center Intermountain Healthcare, Murray, Utah, 84157, United States|Utah Cancer Specialists Utah Cancer Specialists (11), Salt Lake City, Utah, 84106, United States|Shenandoah Oncology Shenadoah Oncology (2), Winchester, Virginia, 22601, United States|Kadlec Clinic Hematology and Oncology Kadlec Clinic Hematology & Onc, Kennewick, Washington, 99336, United States|Vista Oncology Inc. PS, Olympia, Washington, 98502, United States|Multicare Research Institute, Tacoma, Washington, 98405, United States|Northwest Medical Specialties Rainier Physicians, PC, Tacoma, Washington, 98405, United States|Providence St. Mary Regional Cancer Center, Walla Walla, Washington, 98057, United States|Wenatchee Valley Medical Center Wenatchee Valley, Wenatchee, Washington, 98801, United States|Aurora Research Institute Aurora Health Care, Milwaukee, Wisconsin, 53226, United States|Medical College of Wisconsin Cancer Center, Milwaukee, Wisconsin, 53226, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,Gastro-Enteropancreatic Neuroendocrine Tumor,DRUG: Satoreotide trizoxetan 5-20μg|DRUG: Satoreotide trizoxetan 30-45μg,ALL,"ADULT, OLDER_ADULT",PHASE2,29,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: DIAGNOSTIC,9/26/17,8/5/19,"UCLA Medical Center, Los Angeles, California, 90095, United States|Medical University of Innsbruck, Innsbruck, A-6020, Austria|University Clinic for Radiology and Nuclear Medicine, Vienna, A-1090, Austria|Aarhus University Hospital, Aarhus, DK-8000, Denmark|Rigshospitalet, University of Copenhagen, Copenhagen, DK-2100, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,"Neoplasms, Brain",DRUG: Dabrafenib,ALL,CHILD,PHASE1|PHASE2,85,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,5/23/13,12/4/20,"Novartis Investigative Site, Phoenix, Arizona, 85016-7710, United States|Novartis Investigative Site, Orange, California, 92868, United States|Novartis Investigative Site, Baltimore, Maryland, 21287, United States|Novartis Investigative Site, Boston, Massachusetts, 02215, United States|Novartis Investigative Site, New York, New York, 10065, United States|Novartis Investigative Site, Cincinnati, Ohio, 45229, United States|Novartis Investigative Site, Memphis, Tennessee, 38105-3678, United States|Novartis Investigative Site, Seattle, Washington, 98105, United States|Novartis Investigative Site, Parkville, Victoria, 3052, Australia|Novartis Investigative Site, Toronto, Ontario, M5G 1X8, Canada|Novartis Investigative Site, Copenhagen, DK-2100, Denmark|Novartis Investigative Site, Marseille, 13385, France|Novartis Investigative Site, Paris, 75248, France|Novartis Investigative Site, Paris, 75571, France|Novartis Investigative Site, Toulouse, 31059, France|Novartis Investigative Site, Villejuif, 94805, France|Novartis Investigative Site, Heidelberg, Baden-Wurttemberg, 69120, Germany|Novartis Investigative Site, Regensburg, Bavaria, 93053, Germany|Novartis Investigative Site, Berlin, 13353, Germany|Novartis Investigative Site, Jerusalem, 91120, Israel|Novartis Investigative Site, Ramat Gan, 52621, Israel|Novartis Investigative Site, Milan, 20133, Italy|Novartis Investigative Site, Esplugues de Llobregat. Barcelona, 08950, Spain|Novartis Investigative Site, Madrid, 28009, Spain|Novartis Investigative Site, Sutton, Surrey, SM2 5PT, United Kingdom|Novartis Investigative Site, London, WC1N 3JH, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETED,YES,"Solid Tumor, Adult",DRUG: ASTX029|DRUG: ASTX029,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,192,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,5/7/18,3/3/25,"City of Hope Comprehensive Cancer Center, Duarte, California, 91010, United States|University of Southern California Norris Comprehensive Cancer Center Site#114, Los Angeles, California, 90033, United States|Cedars-Sinai Medical Center, Samuel Oschin Comprehensive Cancer Institute Site# 107, Los Angeles, California, 90048, United States|Hoag Memorial Hospital Site#115, Newport Beach, California, 92658, United States|University of California Davis Medical Center Site #121, Sacramento, California, 95817, United States|California Pacific Medical Center - Sutter Pacific Medical Center Site#117, San Francisco, California, 94115-2378, United States|Smilow Cancer Hospital at Yale New Haven Site#105, New Haven, Connecticut, 06510, United States|Holden Comprehensive Cancer Center, Iowa City, Iowa, 52242, United States|The Sidney Kimmel Comprehensive Cancer Center Site#106, Baltimore, Maryland, 21231, United States|Massachusetts General Hospital Site#103, Boston, Massachusetts, 02114, United States|Dana Farber Cancer Institute Site#104, Boston, Massachusetts, 02215, United States|University of Michigan Rogel Cancer Center Site #113, Ann Arbor, Michigan, 48109, United States|Columbia University Irving Medical Center - Herbert Irving Pavilion Site#112, New York, New York, 10032, United States|Providence Portland Medical Center Site #118, Portland, Oregon, 97223, United States|Oregon Health and Science University Site #122, Portland, Oregon, 97239, United States|University of Pennsylvania-Abramson Cancer Center, Philadelphia, Pennsylvania, 19104, United States|The University of Texas MD Anderson Cancer Center Site#111, Houston, Texas, 77030, United States|START - South Texas Accelerated Research Therapeutics, LLC Site# 101, San Antonio, Texas, 78229, United States|Virginia Cancer Specialists Site#102, Fairfax, Virginia, 22031, United States|Centre Léon Bérard Service d'Oncologie Médicale Site#202, Lyon, Auvergne-Rhône-Alpes, 69373, France|Hôpital de la Timone Site #201, Marseille, 13005, France|Institut Català d'Oncologia Badalona Site#240, Barcelona, 08028, Spain|Hospital Universitari Vall d'Hebrón Servicio de Oncología, Sala coordinación UITM Site#243, Barcelona, 08035, Spain|Hospital Universitari Germans Trias i Pujol, Barcelona, 08916, Spain|Hospital Universitario Dexeus Site#241, Barcelona, 8028, Spain|Clinica Universidad de Navarra Madrid Site #242, Madrid, 28027, Spain|Clínica Universidad de Navarra Site#242, Madrid, 28027, Spain|The Christie NHS Foundation Trust Site#220, Manchester, England, M20 4BX, United Kingdom|Cambridge University Hospitals NHS Foundation Trust, Cambridge, CB2 0QQ, United Kingdom|The Newcastle Upon Tyne Hospitals NHS Foundation Trust Site #221, Newcastle upon Tyne, NE7 7DN, United Kingdom|Churchill Hospital Site #224, Oxford, OX3 7LE, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
